city,neighbourhood,room_type,property_type,actual_price,predicted_price,potential_uplift_per_night,estimated_uplift,mispricing_pct
San Francisco,Bernal Heights,Entire home/apt,Apartment,80.0,246.00368,166.00367736816406,9960.220642089844,-0.6748016092447527
Austin,78746,Entire home/apt,Apartment,250.0,413.67175,163.6717529296875,9820.30517578125,-0.3956561011733065
Austin,78745,Entire home/apt,Apartment,74.0,237.19603,163.19602966308594,9791.761779785156,-0.6880217594488834
Austin,78704,Entire home/apt,Apartment,130.0,289.87207,159.8720703125,9592.32421875,-0.5515262996540096
San Francisco,Mission,Entire home/apt,Apartment,108.0,265.71832,157.71832275390625,9463.099365234375,-0.5935545622872846
New York,Tribeca,Entire home/apt,Apartment,184.0,340.91373,156.91372680664062,9414.823608398438,-0.4602740062022757
Austin,78702,Entire home/apt,Apartment,134.0,290.165,156.16500854492188,9369.900512695312,-0.5381937998935016
Austin,78702,Entire home/apt,Apartment,130.0,283.53018,153.53018188476562,9211.810913085938,-0.5414950213207441
Washington D.C.,"Georgetown, Burleith/Hillandale",Entire home/apt,Apartment,87.0,240.46185,153.46185302734375,9207.711181640625,-0.6381962506539158
Washington D.C.,"Shaw, Logan Circle",Entire home/apt,Apartment,99.0,251.96999,152.96998596191406,9178.199157714844,-0.607096060977024
Austin,78704,Entire home/apt,Apartment,120.0,270.88434,150.88433837890625,9053.060302734375,-0.5570065042588509
New York,West Village,Entire home/apt,Apartment,156.0,306.12692,150.12692260742188,9007.615356445312,-0.49040744710959355
Austin,78704,Entire home/apt,Apartment,125.0,274.6069,149.60690307617188,8976.414184570312,-0.5448038683669695
Austin,78704,Entire home/apt,Apartment,196.0,345.4562,149.45620727539062,8967.372436523438,-0.43263430827933336
New York,Upper East Side,Entire home/apt,Apartment,100.0,247.32516,147.32516479492188,8839.509887695312,-0.5956739780890536
Austin,78701,Entire home/apt,Apartment,200.0,346.28552,146.2855224609375,8777.13134765625,-0.42244192428645105
New York,Hell's Kitchen,Entire home/apt,Apartment,95.0,241.20967,146.2096710205078,8772.580261230469,-0.6061517782513661
Austin,78723,Entire home/apt,Apartment,150.0,296.19156,146.19155883789062,8771.493530273438,-0.4935709829526341
New York,West Village,Entire home/apt,Apartment,113.0,257.99506,144.99505615234375,8699.703369140625,-0.5620071109685353
New York,West Village,Entire home/apt,Apartment,156.0,299.69034,143.69033813476562,8621.420288085938,-0.47946269816062786
Austin,78704,Entire home/apt,Apartment,99.0,241.93341,142.93341064453125,8576.004638671875,-0.5907964933976851
San Francisco,Outer Sunset,Entire home/apt,Apartment,100.0,242.80202,142.80201721191406,8568.121032714844,-0.5881418072704007
San Francisco,Noe Valley,Entire home/apt,Apartment,275.0,417.19238,142.1923828125,8531.54296875,-0.3408316850224131
San Francisco,Marina,Entire home/apt,Apartment,95.0,237.0508,142.05079650878906,8523.047790527344,-0.5992420131080314
Austin,78702,Entire home/apt,Apartment,120.0,261.8977,141.897705078125,8513.8623046875,-0.5418058361213834
San Francisco,Downtown/Civic Center,Entire home/apt,Apartment,180.0,321.7686,141.76858520507812,8506.115112304688,-0.4405917535881335
San Francisco,Nob Hill,Entire home/apt,Apartment,109.0,248.89609,139.89608764648438,8393.765258789062,-0.5620662380406058
Austin,78702,Entire home/apt,Apartment,75.0,214.43561,139.43560791015625,8366.136474609375,-0.6502446551161254
Austin,78746,Entire home/apt,Apartment,30.0,169.37817,139.378173828125,8362.6904296875,-0.8228815477108506
Austin,78734,Entire home/apt,Apartment,60.0,198.86082,138.86082458496094,8331.649475097656,-0.6982814482177423
Austin,78704,Entire home/apt,Apartment,109.0,247.35086,138.35086059570312,8301.051635742188,-0.5593304193990198
San Francisco,Glen Park,Private room,Apartment,74.0,211.05412,137.0541229248047,8223.247375488281,-0.6493790361709018
Austin,78741,Entire home/apt,Apartment,50.0,186.64125,136.64125061035156,8198.475036621094,-0.732106381432343
San Francisco,South of Market,Hotel room,Apartment,119.0,255.47505,136.4750518798828,8188.503112792969,-0.5342010927315499
Austin,78732,Entire home/apt,Apartment,73.0,208.53946,135.53945922851562,8132.3675537109375,-0.6499463445907987
San Francisco,Mission,Private room,Apartment,44.0,178.07559,134.07559204101562,8044.5355224609375,-0.7529139198938302
Seattle,Broadview,Entire home/apt,House,190.0,324.03772,134.0377197265625,8042.26318359375,-0.41364850931450053
Washington D.C.,"Georgetown, Burleith/Hillandale",Entire home/apt,Apartment,123.0,256.48392,133.48391723632812,8009.0350341796875,-0.5204377673058309
Austin,78702,Entire home/apt,Apartment,94.0,227.25552,133.25552368164062,7995.3314208984375,-0.5863686898467497
Boston,Fenway,Entire home/apt,Apartment,175.0,307.86755,132.8675537109375,7972.05322265625,-0.4315737469226435
New York,West Village,Entire home/apt,Apartment,175.0,307.86417,132.86416625976562,7971.8499755859375,-0.43156749248842174
Austin,78701,Entire home/apt,Apartment,174.0,306.57553,132.57553100585938,7954.5318603515625,-0.4324400273266608
New York,Boerum Hill,Entire home/apt,Apartment,100.0,232.07664,132.07664489746094,7924.598693847656,-0.5691078693240189
San Francisco,Mission,Entire home/apt,Apartment,130.0,262.0192,132.01919555664062,7921.1517333984375,-0.5038531443323284
San Francisco,Castro/Upper Market,Private room,Apartment,100.0,231.915,131.9149932861328,7914.899597167969,-0.5688075247613608
San Francisco,Castro/Upper Market,Entire home/apt,Apartment,115.0,246.27472,131.27471923828125,7876.483154296875,-0.5330417983799116
Austin,78704,Entire home/apt,Apartment,130.0,258.53964,128.53964233398438,7712.3785400390625,-0.4971757567759587
Austin,78704,Entire home/apt,Apartment,88.0,215.71155,127.7115478515625,7662.69287109375,-0.5920478023709913
San Francisco,Downtown/Civic Center,Shared room,Apartment,45.0,171.95853,126.95852661132812,7617.5115966796875,-0.7383089929485618
San Francisco,Financial District,Entire home/apt,Apartment,229.0,355.44186,126.44186401367188,7586.5118408203125,-0.35573149033679485
Austin,78702,Entire home/apt,Apartment,79.0,204.18924,125.18923950195312,7511.3543701171875,-0.6131040000310871
Austin,78704,Entire home/apt,Apartment,51.0,176.04636,125.04635620117188,7502.7813720703125,-0.7103035751463028
Washington D.C.,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,Apartment,80.0,204.46848,124.46847534179688,7468.1085205078125,-0.6087416416331705
Austin,78725,Entire home/apt,Apartment,286.0,410.2947,124.29470825195312,7457.6824951171875,-0.3029400714952103
Boston,Allston-Brighton,Entire home/apt,Apartment,195.0,319.28198,124.281982421875,7456.9189453125,-0.38925460647402965
Austin,78702,Entire home/apt,Apartment,295.0,419.12515,124.12515258789062,7447.5091552734375,-0.2961529553200975
Austin,78704,Entire home/apt,Apartment,64.0,188.02513,124.02513122558594,7441.507873535156,-0.6596199689752374
San Francisco,North Beach,Entire home/apt,Apartment,145.0,268.6952,123.6951904296875,7421.71142578125,-0.46035505969376933
Washington D.C.,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire home/apt,Apartment,80.0,202.93494,122.9349365234375,7376.09619140625,-0.6057849802970688
Austin,78705,Entire home/apt,Apartment,86.0,208.28831,122.28831481933594,7337.298889160156,-0.5871107792360112
Austin,78702,Entire home/apt,Apartment,59.0,181.10617,122.10617065429688,7326.3702392578125,-0.6742242421291006
Austin,78702,Entire home/apt,Apartment,88.0,208.71698,120.71697998046875,7243.018798828125,-0.5783764214668359
Washington D.C.,"Shaw, Logan Circle",Entire home/apt,Apartment,80.0,200.61111,120.61111450195312,7236.6668701171875,-0.6012185057711689
Austin,78704,Private room,Apartment,38.0,157.8518,119.851806640625,7191.1083984375,-0.7592678803701429
