latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_activity,calculated_host_listings_count,availability_365,availability_ratio,review_scores_rating,data_year,amenity_score,has_luxury_amenities,wifi,kitchen,air_conditioning,parking,pool,gym,pets_allowed,city,neighbourhood,room_type,property_type,instant_bookable,host_is_superhost,actual_price,predicted_price,mispricing_pct,pricing_status
40.72182,-73.99625,,,,,3,65,1.04,1.04,1,106,0.29041095890410956,,2019,0.0,0,0,0,0,0,0,0,0,New York,Nolita,Entire home/apt,Apartment,Unknown,Unknown,185.0,220.48257,-0.16093142303571337,Underpriced
40.72907,-73.95468,,,,,2,8,0.18,0.18,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Greenpoint,Entire home/apt,Apartment,Unknown,Unknown,112.0,143.05577,-0.21708855703117008,Underpriced
42.35931918425464,-71.05319415858384,4.0,1.0,1.0,1.0,3,0,,0.0,1,34,0.09315068493150686,,2023,5.5,1,1,0,1,0,1,1,0,Boston,Financial District,Entire home/apt,Apartment,f,f,250.0,253.42819,-0.013527272201807852,Fairly Priced
42.35287968493279,-71.12511942575341,1.0,1.0,1.0,1.0,7,5,0.44,0.44,1,0,0.0,96.0,2023,3.0,0,1,1,1,0,0,0,0,Boston,Allston-Brighton,Private room,Apartment,f,f,28.0,44.222683,-0.36684076744430183,Underpriced
30.40294,-97.74753,,,,,1,9,1.17,1.17,116,74,0.20273972602739726,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78759,Entire home/apt,Apartment,Unknown,Unknown,143.0,126.05466,0.13442853618602227,Fairly Priced
38.93213,-77.03441,,,,,31,5,0.06,0.06,1,0,0.0,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,Apartment,Unknown,Unknown,80.0,106.48143,-0.24869528931338808,Underpriced
42.3566169433856,-71.13847571224115,1.0,1.5,1.0,1.0,1,2,0.78,0.78,5,365,1.0,100.0,2023,2.0,0,1,0,1,0,0,0,0,Boston,Allston-Brighton,Private room,House,f,f,55.0,58.880447,-0.06590383667000191,Fairly Priced
40.71292,-73.94873,,,,,6,3,0.06,0.06,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Williamsburg,Entire home/apt,Apartment,Unknown,Unknown,66.0,149.90056,-0.5597081113445671,Underpriced
47.66321788314095,-122.30437085771638,6.0,2.0,2.0,2.0,1,8,0.44,0.44,11,365,1.0,68.0,2023,2.0,0,1,1,0,0,0,0,0,Seattle,University District,Entire home/apt,Apartment,f,f,150.0,170.47325,-0.12009656166883054,Fairly Priced
40.7309,-73.98785,,,,,2,40,0.73,0.73,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,East Village,Entire home/apt,Apartment,Unknown,Unknown,165.0,177.14972,-0.06858446793211598,Fairly Priced
30.31773,-97.72142,,,,,30,20,0.47,0.47,1,363,0.9945205479452055,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78751,Private room,Apartment,Unknown,Unknown,60.0,47.528446,0.2624018835091579,Overpriced
47.683094029694615,-122.3713839227005,6.0,1.0,2.0,4.0,1,22,5.55,5.55,1,167,0.4575342465753425,98.0,2023,3.0,1,1,0,0,1,0,0,1,Seattle,Ballard,Entire home/apt,House,f,f,125.0,114.41069,0.09255524692588803,Fairly Priced
40.66221,-73.99743,,,,,2,33,0.39,0.39,1,20,0.0547945205479452,,2019,0.0,0,0,0,0,0,0,0,0,New York,Sunset Park,Private room,Apartment,Unknown,Unknown,50.0,67.455925,-0.25877526682721863,Underpriced
47.70343743429742,-122.32570709944667,4.0,2.0,2.0,3.0,2,6,2.0,2.0,1,276,0.7561643835616438,100.0,2023,5.5,1,1,1,1,0,0,1,1,Seattle,Maple Leaf,Entire home/apt,Apartment,f,f,94.0,151.92604,-0.38127789286028146,Underpriced
37.78773,-122.40768,,,,,2,4,0.05,0.05,4,301,0.8246575342465754,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Downtown/Civic Center,Private room,Apartment,Unknown,Unknown,225.0,198.82195,0.13166582182111353,Fairly Priced
38.90713,-77.01687,,,,,1,453,5.01,5.01,2,0,0.0,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Shaw, Logan Circle",Entire home/apt,Apartment,Unknown,Unknown,578.0,156.55602,2.691969292562272,Overpriced
38.92985,-76.99702,,,,,91,0,,0.0,173,292,0.8,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,Apartment,Unknown,Unknown,51.0,47.788986,0.06719150266340007,Fairly Priced
40.74344,-73.99826,,,,,2,0,,0.0,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Chelsea,Entire home/apt,Apartment,Unknown,Unknown,750.0,301.87894,1.4844396499827284,Overpriced
47.57761916015534,-122.41366735523944,4.0,2.0,1.0,3.0,3,1,0.39,0.39,1,82,0.22465753424657534,100.0,2023,4.0,1,1,1,1,1,0,0,0,Seattle,Alki,Entire home/apt,House,f,f,135.0,198.13803,-0.31865680044025596,Underpriced
30.27487,-97.75084,,,,,2,122,3.99,3.99,1,74,0.20273972602739726,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78701,Entire home/apt,Apartment,Unknown,Unknown,113.0,120.61333,-0.06312177280959047,Fairly Priced
40.72066,-73.98506,,,,,3,100,1.06,1.06,1,191,0.5232876712328767,,2019,0.0,0,0,0,0,0,0,0,0,New York,Lower East Side,Entire home/apt,Apartment,Unknown,Unknown,200.0,213.19618,-0.06189689755064137,Fairly Priced
40.72578,-73.97879,,,,,3,147,1.6,1.6,1,27,0.07397260273972603,,2019,0.0,0,0,0,0,0,0,0,0,New York,East Village,Entire home/apt,Apartment,Unknown,Unknown,190.0,187.72368,0.012125915218815704,Fairly Priced
35.51099,-82.61195,,,,,2,159,4.69,4.69,1,301,0.8246575342465754,,2020,0.0,0,0,0,0,0,0,0,0,Asheville,28806,Entire home/apt,Apartment,Unknown,Unknown,65.0,121.55173,-0.4652482408391449,Underpriced
38.92823,-77.03901,,,,,2,43,1.49,1.49,1,0,0.0,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,Apartment,Unknown,Unknown,80.0,138.37187,-0.4218478157907418,Underpriced
40.72186,-73.97663,,,,,14,2,0.04,0.04,1,3,0.00821917808219178,,2019,0.0,0,0,0,0,0,0,0,0,New York,East Village,Entire home/apt,Apartment,Unknown,Unknown,125.0,154.99489,-0.19352179051551305,Underpriced
38.90558,-77.00084,,,,,3,325,3.77,3.77,1,229,0.6273972602739726,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Union Station, Stanton Park, Kingman Park",Private room,Apartment,Unknown,Unknown,72.0,98.8165,-0.2713767275608945,Underpriced
38.90947,-77.0277,,,,,1,225,4.32,4.32,9,291,0.7972602739726027,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Shaw, Logan Circle",Private room,Apartment,Unknown,Unknown,144.0,101.60704,0.41722462760096646,Overpriced
30.29252,-97.7414,,,,,3,42,1.37,1.37,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78705,Entire home/apt,Apartment,Unknown,Unknown,112.0,148.93651,-0.2480017064344648,Underpriced
40.73774,-73.97343,,,,,28,1,0.03,0.03,1,72,0.19726027397260273,,2019,0.0,0,0,0,0,0,0,0,0,New York,Kips Bay,Private room,Apartment,Unknown,Unknown,95.0,91.25765,0.041008590772107736,Fairly Priced
47.61429607370371,-122.3473831543682,4.0,1.0,1.0,2.0,2,3,0.45,0.45,6,156,0.4273972602739726,93.0,2023,7.5,1,1,1,1,1,1,1,0,Seattle,Belltown,Entire home/apt,Apartment,t,f,275.0,150.75912,0.8241018608017084,Overpriced
30.27062,-97.74796,,,,,2,6,0.2,0.2,6,42,0.11506849315068493,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78701,Entire home/apt,Apartment,Unknown,Unknown,210.0,267.70462,-0.21555332247699963,Underpriced
30.26052,-97.73296,,,,,1,1,0.15,0.15,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78702,Entire home/apt,Apartment,Unknown,Unknown,88.0,208.71698,-0.5783764214668359,Underpriced
40.69787,-73.93202,,,,,1,8,0.17,0.17,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Bushwick,Private room,Apartment,Unknown,Unknown,55.0,60.93815,-0.09744550244544924,Fairly Priced
40.66205,-73.96301,,,,,5,12,0.34,0.34,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Prospect-Lefferts Gardens,Entire home/apt,Apartment,Unknown,Unknown,150.0,111.2266,0.3485982591169181,Overpriced
38.92539,-77.04148,,,,,31,0,,0.0,1,0,0.0,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,Apartment,Unknown,Unknown,350.0,78.50362,3.458393337133925,Overpriced
30.25185,-97.72586,,,,,2,20,0.49,0.49,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78702,Entire home/apt,Apartment,Unknown,Unknown,59.0,181.10617,-0.6742242421291006,Underpriced
40.67417,-73.94028,,,,,5,102,1.88,1.88,5,147,0.40273972602739727,,2019,0.0,0,0,0,0,0,0,0,0,New York,Crown Heights,Private room,Apartment,Unknown,Unknown,73.0,60.609745,0.20442677937557405,Overpriced
30.3063,-97.69349,,,,,3,11,0.68,0.68,1,327,0.8958904109589041,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78723,Entire home/apt,Apartment,Unknown,Unknown,575.0,217.61244,1.6423121521522812,Overpriced
37.72064,-122.48513,,,,,30,0,,0.0,2,365,1.0,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Lakeshore,Shared room,Apartment,Unknown,Unknown,53.0,90.24998,-0.4127422333377997,Underpriced
38.91963958740234,-77.01187896728516,,,,,2,215,4.15,4.15,1,123,0.336986301369863,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,Apartment,Unknown,Unknown,118.0,127.112785,-0.07169054879119272,Fairly Priced
38.9692,-77.02507,,,,,60,3,0.08,0.08,7,229,0.6273972602739726,,2023,0.0,0,0,0,0,0,0,0,0,Washington D.C.,"Takoma, Brightwood, Manor Park",Private room,Apartment,Unknown,Unknown,41.0,57.17036,-0.28284517371108986,Underpriced
37.77957,-122.39116,,,,,30,6,0.09,0.09,17,290,0.7945205479452054,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,South of Market,Entire home/apt,Apartment,Unknown,Unknown,123.0,163.16171,-0.24614667249479705,Underpriced
30.20904,-97.80751,,,,,1,4,0.1,0.1,1,0,0.0,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78745,Private room,Apartment,Unknown,Unknown,20.0,62.039326,-0.6776238334348814,Underpriced
42.35411529429635,-71.07441444576361,2.0,1.0,1.0,1.0,2,22,0.28,0.28,79,353,0.9671232876712329,85.0,2023,4.0,0,1,1,1,0,0,0,1,Boston,Back Bay,Entire home/apt,Apartment,f,f,251.0,229.34123,0.0944390482383126,Fairly Priced
37.75207,-122.48654,,,,,1,53,3.17,3.17,1,123,0.336986301369863,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Outer Sunset,Entire home/apt,Apartment,Unknown,Unknown,134.0,183.78517,-0.2708878583624371,Underpriced
47.63934586006096,-122.34313235161407,4.0,1.0,1.0,2.0,2,0,,0.0,5,77,0.21095890410958903,,2023,4.0,1,1,1,1,1,0,0,0,Seattle,Queen Anne,Entire home/apt,Apartment,f,f,73.0,130.5705,-0.4409150423953625,Underpriced
40.82579,-73.94907,,,,,2,2,0.05,0.05,1,0,0.0,,2019,0.0,0,0,0,0,0,0,0,0,New York,Harlem,Private room,Apartment,Unknown,Unknown,65.0,66.69944,-0.025479074522652686,Fairly Priced
37.80604,-122.42302,,,,,3,212,3.03,3.03,1,35,0.0958904109589041,,2023,0.0,0,0,0,0,0,0,0,0,San Francisco,Russian Hill,Entire home/apt,Apartment,Unknown,Unknown,236.0,212.7924,0.10906214399519044,Fairly Priced
30.38305,-97.91259,,,,,5,0,,0.0,3,77,0.21095890410958903,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78732,Entire home/apt,Apartment,Unknown,Unknown,200.0,270.1156,-0.2595762719141065,Underpriced
40.68554,-73.99499,,,,,7,32,0.5,0.5,1,24,0.06575342465753424,,2019,0.0,0,0,0,0,0,0,0,0,New York,Cobble Hill,Entire home/apt,Apartment,Unknown,Unknown,175.0,217.82802,-0.19661390919610464,Underpriced
42.34652131433815,-71.07838416340084,4.0,1.5,2.0,2.0,4,3,0.13,0.13,79,360,0.9863013698630136,87.0,2023,3.0,0,1,1,1,0,0,0,0,Boston,Back Bay,Entire home/apt,Apartment,f,f,299.0,314.95535,-0.05065909387539719,Fairly Priced
30.33706,-97.7323,,,,,30,9,0.63,0.63,1,106,0.29041095890410956,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78757,Entire home/apt,Apartment,Unknown,Unknown,200.0,93.11411,1.1479021156930884,Overpriced
40.69634,-73.97296,,,,,1,152,3.02,3.02,1,249,0.6821917808219178,,2019,0.0,0,0,0,0,0,0,0,0,New York,Fort Greene,Private room,Apartment,Unknown,Unknown,70.0,80.81194,-0.1337914006961549,Fairly Priced
40.70399,-73.91195,,,,,4,17,0.39,0.39,2,262,0.7178082191780822,,2019,0.0,0,0,0,0,0,0,0,0,New York,Ridgewood,Private room,Apartment,Unknown,Unknown,46.0,59.02676,-0.2206924465946998,Underpriced
35.55258,-82.50942,,,,,2,132,2.2,2.2,1,266,0.7287671232876712,,2020,0.0,0,0,0,0,0,0,0,0,Asheville,28803,Entire home/apt,Apartment,Unknown,Unknown,120.0,165.22682,-0.27372566620537564,Underpriced
30.23263,-97.75899,,,,,3,3,1.2,1.2,1,16,0.043835616438356165,,2020,0.0,0,0,0,0,0,0,0,0,Austin,78704,Entire home/apt,Apartment,Unknown,Unknown,250.0,153.93098,0.6241044700442238,Overpriced
